"","Country name","Year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","Confidence in national government","Democratic Quality","Delivery Quality","Standard deviation of ladder by country-year","Standard deviation/Mean of ladder by country-year","gini of household income reported in Gallup, by wp5-year"
"53","Colombia",2018,5.98351240158081,9.51173400878906,0.87097042798996,67.6999969482422,0.850765764713287,-0.155047997832298,0.854820907115936,0.825455188751221,0.30062410235405,0.274869501590729,NA,NA,2.68267226219177,0.448344051837921,0.506853818893433
"54","Comoros",2018,3.97281956672668,7.26014232635498,0.621302962303162,57.2000007629395,0.560182332992554,0.136247515678406,0.79375833272934,0.74774158000946,0.337493658065796,0.317273706197739,NA,NA,2.88271236419678,0.725608706474304,0.598217666149139
"55","Congo (Brazzaville)",2017,4.88399124145508,8.49318885803223,0.655440509319305,57.2999992370605,0.777783453464508,-0.163537174463272,0.762783110141754,0.598951637744904,0.381640553474426,0.469826549291611,-0.824424743652344,-1.23947501182556,2.90680122375488,0.595169186592102,0.477259427309036
"56","Congo (Brazzaville)",2018,5.49021434783936,8.47327899932861,0.620622932910919,57.9000015258789,0.698700070381165,-0.12450098246336,0.738020181655884,0.587506592273712,0.447646170854568,0.473673611879349,NA,NA,3.346595287323,0.609556376934052,0.597126543521881
"57","Congo (Kinshasa)",2017,4.31103324890137,6.69472694396973,0.669688403606415,52.9000015258789,0.704239547252655,0.0850663632154465,0.809181869029999,0.550525903701782,0.404262065887451,0.478412300348282,-1.87226915359497,-1.55175387859344,2.64247918128967,0.612957298755646,0.632452130317688
"58","Costa Rica",2017,7.22518157958984,9.65020656585693,0.92169713973999,71.0999984741211,0.935618460178375,-0.0731791779398918,0.74235075712204,0.874395847320557,0.275440067052841,0.407448440790176,0.815186500549316,0.404245346784592,2.07998394966125,0.287879824638367,0.469308227300644
"59","Costa Rica",2018,7.14107465744019,9.66942596435547,0.875872433185577,71.3000030517578,0.941888332366943,-0.104196012020111,0.78130179643631,0.870097815990448,0.325866639614105,0.479977786540985,NA,NA,2.14596962928772,0.300510734319687,0.786516606807709
"60","Croatia",2017,5.3431658744812,10.0287885665894,0.770309686660767,69.5999984741211,0.715822279453278,-0.105906412005424,0.891559720039368,0.655305027961731,0.316488236188889,0.211000666022301,0.628294408321381,0.380520015954971,1.57082140445709,0.29398700594902,0.338284969329834
"61","Croatia",2018,5.53627109527588,10.0657510757446,0.909806847572327,70.1999969482422,0.690855622291565,-0.152529239654541,0.92540830373764,0.582044124603271,0.290375977754593,0.248180910944939,NA,NA,1.7036806344986,0.307730704545975,0.322490155696869
"62","Cyprus",2017,6.06205129623413,10.3863801956177,0.818671047687531,73.5,0.811670660972595,0.0400627143681049,0.851206421852112,0.784188449382782,0.300516605377197,0.312653422355652,0.827816247940063,0.904508113861084,2.36952495574951,0.390878409147263,0.410138428211212
