Name,Condition,Price,Purchase Option,Shipping Cost
Gundam Fix Figuration Metal Composite Wing Gundam Zero Ew Version Premium Bandai,Pre-Owned,$758.00,Buy It Now,Free Shipping
,Brand New,$714.71,Buy It Now,+$110.12 shipping
NEW Gundam Fix Figuration Metal Composite Limited Zplus BLUE Bandai,Brand New,$480.00,Buy It Now,+$18.00 shipping
Gff/Gundam Fix Figuration Metal Composite 1011 Rx-0 Unicorn Gundam 2 Banshee,Pre-Owned,$693.42,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S Char's Zaku II 180mm Bandai Figure,Brand New,$502.89,Buy It Now,+$24.00 shipping
Bandai Spirits Gundam Fix Figuration Metal Composite Mobile Suit The Origin,Pre-Owned,$305.82,or Best Offer,Free Shipping
P Bandai Gundam Fix Figuration Metal Composite RX-78-01 Local Type Rollout Color,Brand New,$299.99,Buy It Now,Free Shipping
Gundam Fix Figuration Metal Composite 0-Gundam Limited Exclusive,Brand New,$606.36,Buy It Now,Free Shipping
BANDAI METAL COMPOSITE FIX FIGURATION Gundam Wing Zero EW,Brand New,$200.00,Buy It Now,+$20.00 shipping
USED Gundam Fix Figuration Metal Composite RX-0 Unicorn Gundam 02 Banshee Bandai,Pre-Owned,$193.97,Buy It Now,Free Shipping
GUNDAM FIX 1020 FIGURATION METAL COMPOSITE MS-06C Zaku II Type C,Brand New,$245.00,Buy It Now,+$25.00 shipping
Bandai GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Gloss Color Ver.,Brand New,$399.00,or Best Offer,Free Shipping
Tamashii Exclusive Psycho Gundam Fix Figuration Metal Composite Gloss Color Ver,Brand New,$287.88,Buy It Now,+$33.00 shipping
Bandai GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Mk-II Neo Zeon 1010,Pre-Owned,$249.00,Buy It Now,+$10.00 shipping
Bandai Spirits GUNDAM FIX FIGURATION METAL COMPOSITE LIMITED Zplus BLUE New,Brand New,$479.00,or Best Offer,Free Shipping
