,Name,Condition,Price,Purchase Option,Shipping Cost
139,Apple iPhone 11 - 64GB - green (Sprint) A2111 (CDMA + GSM) ,Pre-Owned,$415.00,15 bids,+$9.99 shipping
140,,Refurbished,"$1,000.00",Buy It Now,+$9.60 shipping
141,,Brand New,$435.00,31 bids,+$7.49 shipping
142,Apple iPhone 11 Pro Max 512GB Space Gray Verizon TMobile ATT Unlocked Smartphone,Open Box,"$1,099.99",Buy It Now,Free Shipping
143,,Pre-Owned,$305.00,6 bids,Free Shipping
144,,Pre-Owned,$439.00,4 bids,+$8.85 shipping
145,Apple iPhone 11 Pro - 256GB - Midnight Green (Unlocked) A2160 (CDMA + GSM),Brand New,$803.53,21 bids,+$8.00 shipping
146,Apple iPhone 11 Pro 64GB - Gold Silver Black green (Unlocked) A2160 (CDMA + GSM),Refurbished,$769.95,Buy It Now,Free Shipping
147,,Refurbished,$460.00,8 bids,+$9.60 shipping
148,,Brand New,"$1,080.00",57 bids,+$7.49 shipping
149,Apple iPhone 11 Pro - 64GB - Space Gray (Unlocked) A2160 (CDMA + GSM),Pre-Owned,$604.00,12 bids,+$8.25 shipping
150,Apple iPhone 11 (PRODUCT)RED - 64GB (T-Mobile) A2111 (CDMA + GSM),Open Box,$405.00,20 bids,+$9.60 shipping
151,,Brand New,$849.99,Buy It Now,+$14.90 shipping
152,Apple iPhone 11 - 64GB - Black (AT&T) 4G LTE A2111 MWHT2LL/A iOS Smartphone,Pre-Owned,$465.00,70 bids,Free Shipping
153,Apple iPhone 11 White 128GB Verizon AT&T T-Mobile Fully Unlocked Smartphone,Refurbished,$659.99,Buy It Now,Free Shipping
154,Apple iPhone 11 Pro - 256GB - Midnight Green (Unlocked) A2160 (CDMA + GSM) ,Open Box,$979.00,Buy It Now,Free Shipping
155,,Pre-Owned,$630.00,12 bids,+$9.60 shipping
156,,Open Box,$699.99,Buy It Now,Free Shipping
157,Apple iPhone 11 Pro Max - 256GB - Midnight Green (AT&T) A2161 (CDMA + GSM),Pre-Owned,$897.00,Buy It Now,Free Shipping
158,,Pre-Owned,$431.00,23 bids,Free Shipping
159,Apple iPhone 11 (PRODUCT)RED - 128GB (Verizon) A2111 (CDMA + GSM),Open Box,$610.00,8 bids,+$4.65 shipping
160,Apple iPhone 11 - 64GB - Black (T-Mobile) A2111 (CDMA + GSM),Pre-Owned,$335.00,9 bids,+$9.60 shipping
161,,Brand New,$650.00,52 bids,+$7.49 shipping
162,Apple iPhone 11 - 64GB - Black (Sprint) A2111 (CDMA + GSM),Pre-Owned,$500.00,11 bids,+$9.60 shipping
163,Apple iPhone 11 128GB Yellow Verizon T-Mobile AT&T Fully Unlocked Smartphone,Open Box,$699.99,Buy It Now,Free Shipping
164,iPhone 11 64GB White A2111 MWL82LL/A * ONLY * CRICKET * LOCKED *,Pre-Owned,$560.00,21 bids,Free Shipping
165,Iphone 11 64gb Sprint Open Box ,Open Box,$530.00,55 bids,+$12.99 shipping
166,Apple iPhone 11 Pro - 64GB - Silver  A2160 (CDMA + GSM),Pre-Owned,$560.00,36 bids,Free Shipping
167,,Brand New,$607.00,8 bids,+$11.66 shipping
168,,Pre-Owned,$665.00,14 bids,+$9.60 shipping
169,,Brand New,$659.99,Buy It Now,+$8.00 shipping
170,Apple iPhone 11 64GB Purple LTE Cellular Sprint MWK52LL/A,Refurbished,$656.00,Buy It Now,Free Shipping
171,Open Box Apple iPhone 11 PRO GREEN GOLD SILVER SPACE GRAY UNLOCKED GSM CDMA,Open Box,"$1,349.00",Buy It Now,Free Shipping
