Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/03/2014,13:57,13:56:36.107,38.37,1,38.46,10,13:56:38.467,38.4,1,38.72,1,13:56:36.107,38.37,1,38.46,10,13:56:42.531,38.4,1,38.71,1,0.41,0.08,20
GLP,03/03/2014,13:58,13:57:02.341,38.41,1,38.71,1,13:57:06.479,38.44,1,38.71,1,13:57:34.553,38.44,1,38.7,1,13:57:34.553,38.44,1,38.7,1,0.30,0.26,5
GLP,03/03/2014,14:06,14:05:23.786,38.44,1,38.69,1,14:05:23.786,38.44,1,38.69,1,14:05:29.512,38.44,1,38.68,1,14:05:29.512,38.44,1,38.68,1,0.25,0.24,2
GLP,03/03/2014,14:07,14:06:23.680,38.44,1,38.69,1,14:06:23.680,38.44,1,38.69,1,14:06:23.680,38.44,1,38.69,1,14:06:23.680,38.44,1,38.69,1,0.25,0.25,1
GLP,03/03/2014,14:34,14:33:00.209,38.44,1,38.76,1,14:33:00.209,38.44,1,38.76,1,14:33:00.209,38.44,1,38.76,1,14:33:00.209,38.44,1,38.76,1,0.32,0.32,1
GLP,03/03/2014,14:54,14:53:37.342,38.44,1,38.79,1,14:53:37.342,38.44,1,38.79,1,14:53:39.170,38.44,1,38.78,1,14:53:39.170,38.44,1,38.78,1,0.35,0.34,2
GLP,03/03/2014,15:04,15:03:44.642,38.45,1,38.78,1,15:03:46.907,38.46,1,38.78,1,15:03:44.642,38.45,1,38.78,1,15:03:46.907,38.46,1,38.78,1,0.33,0.32,2
GLP,03/03/2014,15:08,15:07:10.210,38.46,2,38.78,1,15:07:10.210,38.46,2,38.78,1,15:07:10.210,38.46,2,38.78,1,15:07:10.210,38.46,2,38.78,1,0.32,0.32,1
GLP,03/03/2014,15:13,15:12:40.212,38.46,1,38.78,1,15:12:40.212,38.46,1,38.78,1,15:12:40.212,38.46,1,38.78,1,15:12:40.212,38.46,1,38.78,1,0.32,0.32,1
GLP,03/03/2014,15:24,15:23:30.214,38.46,2,38.78,1,15:23:30.214,38.46,2,38.78,1,15:23:30.214,38.46,2,38.78,1,15:23:30.214,38.46,2,38.78,1,0.32,0.32,1
GLP,03/03/2014,15:26,15:25:25.835,38.46,2,38.71,1,15:25:25.835,38.46,2,38.71,1,15:25:25.835,38.46,2,38.71,1,15:25:31.495,38.46,2,38.79,1,0.34,0.25,4
GLP,03/03/2014,15:27,15:26:11.980,38.46,2,38.8,50,15:26:11.980,38.46,2,38.8,50,15:26:17.383,38.46,2,38.79,1,15:26:19.108,38.46,2,38.79,2,0.34,0.33,3
GLP,03/03/2014,15:29,15:28:01.990,38.46,1,38.79,2,15:28:01.990,38.46,1,38.79,2,15:28:01.990,38.46,1,38.79,2,15:28:01.990,38.46,1,38.79,2,0.33,0.33,1
GLP,03/03/2014,15:36,15:35:30.266,38.46,1,38.79,2,15:35:30.275,38.47,1,38.79,2,15:35:30.266,38.46,1,38.79,2,15:35:30.275,38.47,1,38.79,2,0.33,0.32,2
GLP,03/03/2014,15:37,15:36:53.476,38.47,2,38.79,2,15:36:53.476,38.47,2,38.79,2,15:36:53.476,38.47,2,38.79,2,15:36:53.476,38.47,2,38.79,2,0.32,0.32,1
GLP,03/03/2014,15:42,15:41:20.226,38.47,1,38.79,2,15:41:20.226,38.47,1,38.79,2,15:41:20.226,38.47,1,38.79,2,15:41:20.226,38.47,1,38.79,2,0.32,0.32,1
GLP,03/03/2014,15:44,15:43:01.197,38.47,1,38.78,1,15:43:01.197,38.47,1,38.78,1,15:43:01.197,38.47,1,38.78,1,15:43:01.197,38.47,1,38.78,1,0.31,0.31,1
GLP,03/03/2014,15:45,15:44:32.281,38.48,1,38.78,1,15:44:32.298,38.49,1,38.78,1,15:44:53.367,38.49,1,38.77,1,15:44:53.367,38.49,1,38.77,1,0.30,0.28,7
GLP,03/03/2014,15:47,15:46:07.427,38.49,1,38.76,1,15:46:07.427,38.49,1,38.76,1,15:46:07.427,38.49,1,38.76,1,15:46:23.365,38.49,1,38.76,2,0.27,0.27,2
GLP,03/03/2014,15:50,15:49:00.229,38.49,2,38.76,2,15:49:02.330,38.51,1,38.76,2,15:49:54.236,38.51,1,38.75,1,15:49:54.236,38.51,1,38.75,1,0.27,0.24,5
